sign_code;description;category;filename;explanation
306.0;Forbudt for alle kjoretoy;forbuds;forbuds/sf200510071219306001_gif.gif;Gjelder alle typer kjøretøy – ingen motorisert eller ikke-motorisert trafikk.
306.1;Forbudt for motorvogn med unntak av liten elektrisk motorvogn;forbuds;forbuds/sf200510071219306101_gif.gif;Forbud mot motorvogn, men små elektriske kjøretøy som el-sparkesykkel kan være unntatt.
306.3;Forbudt for alle traktorer og for motorredskap konstruert for fart mindre enn 40 km/t.;forbuds;forbuds/sf200510071219306301_gif.gif;Traktorer og motorredskap som anleggsmaskiner har ikke tillatelse.
306.4;Forbudt for motorsykkel og moped;forbuds;forbuds/sf200510071219306401_gif.gif;Gjelder tohjuls- eller trehjuls motoriserte kjøretøy.
306.5;Forbudt for lastebil og trekkbil;forbuds;forbuds/sf200510071219306501_gif.gif;Lastebiler og trekkbiler har ikke adgang.
306.6;Forbudt for syklende og forer av liten elektrisk motorvogn;forbuds;forbuds/sf200510071219306601_gif.gif;Gjelder syklister og små elektriske kjøretøy som el-sparkesykkel.
306.7;Forbudt for gaende;forbuds;forbuds/sf200510071219306701_gif.gif;Fotgjengere har ikke adgang.
306.8;Forbudt for gaende, syklende og fører av liten elektrisk motorvogn;forbuds;forbuds/sf200510071219306801_gif.gif;Totalforbud for disse trafikantgruppene – ofte brukt i tunneler.
306.9;Forbudt for ridende;forbuds;forbuds/sf200510071219306901_gif.gif;Gjelder personer som rir – vanlig ved høytrafikkerte veier eller motorvei.
306.10;Forbudt for liten elektrisk motorvogn;forbuds;forbuds/sf-20051007-1219-306-10-01_gif.png;Forbud mot små elektriske kjøretøy som el-sparkesykkel.
308;Forbudt for transport av farlig gods;forbuds;forbuds/sf20051007121930801_gif.gif;Ikke tillatt å transportere farlig gods – eksplosiver, gass, gift osv.
310;Forbudt for motorvogn med flere enn to hjul og med tillatt totalvekt høyere enn angitt;forbuds;forbuds/sf20051007121931001_gif.gif;Forbud mot større motorvogn – typisk busser og lastebiler med visse unntak.
312;Breddegrense;forbuds;forbuds/sf20051007121931201_gif.gif;Kjøretøy som er bredere enn angitt må ikke passere.
314;Høydegrense;forbuds;forbuds/sf20051007121931401_gif.gif;Kjøretøy som er høyere enn angitt må ikke passere.
316;Lengdegrense;forbuds;forbuds/sf20051007121931601_gif.gif;Kjøretøy som er lengre enn angitt må ikke kjøre inn.
318.1;Totalvektgrense for kjoretoy;forbuds;forbuds/sf200510071219318101_gif.gif;Kjøretøy over angitt totalvekt har ikke tillatelse til å passere.
318.2;Totalvektgrense for for vogntog;forbuds;forbuds/sf200510071219318201_gif.gif;Vogntog over angitt totalvekt har ikke tillatelse til å passere.
320;Aksellastgrense;forbuds;forbuds/sf20051007121932001_gif.gif;Begrenser aksellast – viktig for broers og vegers bæreevne.
322;Boggilastgrense;forbuds;forbuds/sf20051007121932201_gif.gif;Begrenser boggilast – gjelder for tunge kjøretøykombinasjoner.
324;Stopp for angitt formal;forbuds;forbuds/sf20051007121932401_gif.gif;Stopp for kontroll eller annen kontrollfunksjon – se undertekst eller symbol.
326;Stopp for toll;forbuds;forbuds/sf20051007121932601_gif.gif;Stopp for toll – brukes nær grenseoverganger eller tollstasjoner.
330.1;Svingeforbud Høgre;forbuds;forbuds/sf200510071219330101_gif.gif;Det er forbudt å svinge til høyre der dette skiltet er plassert.
330.2;Svingeforbud Venstre;forbuds;forbuds/sf200510071219330201_gif.gif;Det er forbudt å svinge til venstre der dette skiltet er plassert.
332;Vendingsforbud;forbuds;forbuds/sf20051007121933201_gif.gif;Det er ikke tillatt å snu – for eksempel i kryss eller U-sving.
334;Forbikjøringsforbud;forbuds;forbuds/sf20051007121933401_gif.gif;Forbikjøring av motorvogn på mer enn to hjul er forbudt.
335;Forbikjoringsforbud for lastebil;forbuds;forbuds/sf20051007121933501_gif.gif;Forbikjøring med lastebil er forbudt – gjelder tunge kjøretøy.
336;Slutt på forbikjoringsforbud;forbuds;forbuds/sf20051007121933601_gif.gif;Forbudet mot forbikjøring oppheves – gjelder alle kjøretøy.
337;Slutt på forbikjoringsforbud for lastebil;forbuds;forbuds/sf20051007121933701_gif.gif;Forbudet mot forbikjøring med lastebil oppheves.
362;Fartsgrense;forbuds;forbuds/sf20051007121936201_gif.gif;Viser hvilken fartsgrense som gjelder fra og med skiltets plassering.
364;Slutt på serskilt fartsgrense;forbuds;forbuds/sf20051007121936401_gif.gif;Fartsgrensen som tidligere gjaldt opphører – generelle regler gjelder videre.
366;Fartsgrensesone;forbuds;forbuds/sf20051007121936601_gif.gif;Område der angitt fartsgrense gjelder til sonen oppheves.
367;Fartsgrensesone for liten elektrisk motorvogn;forbuds;forbuds/sf-20051007-1219-367-01_gif.png;Fartsgrensesone spesifikt for liten elektrisk motorvogn, f.eks. el-sparkesykkel.
368;Slutt pa fartsgrensesone;forbuds;forbuds/sf20051007121936801_gif.gif;Slutt på fartsgrensesone – den angitte soneregelen oppheves.
369;Slutt på fartsgrensesone for liten elektrisk motorvogn;forbuds;forbuds/sf-20051007-1219-369-01_gif.png;Slutt på sone med fartsgrense for liten elektrisk motorvogn.
370;Stans forbudt;forbuds;forbuds/sf20051007121937001_gif.gif;Stans av kjøretøy er forbudt på området skiltet dekker.
372;Parkering forbudt;forbuds;forbuds/sf20051007121937201_gif.gif;Parkering er ikke tillatt – se eventuelle tilleggsskilt for tidsrom.
376.1;Parkeringssone;forbuds;forbuds/sf200510071219376101_gif.gif;Område der parkeringsregler gjelder som en sone – gjelder inntil opphevet.
376.2;Parkeringssone;forbuds;forbuds/sf200510071219376201_gif.gif;Område der parkeringsregler gjelder som en sone – gjelder inntil opphevet.
377;Sone med parkeringsforbud for liten elektrisk motorvogn;forbuds;forbuds/sf-20051007-1219-377-01_gif.png;Sone med parkeringsforbud for liten elektrisk motorvogn – f.eks. el-sparkesykkel.
378.1;Slutt på parkeringssone;forbuds;forbuds/sf200510071219378101_gif.gif;Slutt på område der parkeringssone-regler har vært gjeldende.
378.2;Slutt på parkeringsforbud;forbuds;forbuds/sf200510071219378201_gif.gif;Slutt på område med parkeringsforbud – normal parkering tillatt.
379;Slutt på sone med parkeringsforbud for liten elektrisk motorvogn;forbuds;forbuds/sf-20051007-1219-379-01_png.png;Slutt på sone med parkeringsforbud for liten elektrisk motorvogn.
380;Sone med bruksforbud for liten elektrisk motorvogn;forbuds;forbuds/sf-20051007-1219-380-01_PNG.png;Område der bruk av liten elektrisk motorvogn er forbudt.
382;Slutt på sone med bruksforbud for liten elektrisk motorvogn;forbuds;forbuds/sf-20051007-1219-382-01_PNG.png;Slutt på sone med bruksforbud for liten elektrisk motorvogn.
1000;Kjørefeltlinje;linjer_og;linjer_og/sf200510071219100001_gif.gif;Angir deling mellom kjørefelt i samme retning – kan krysses med varsomhet.
1002;Varsellinje;linjer_og;linjer_og/sf200510071219100201_gif_2.gif;Varsler overgang til sperrelinje – kryssing frarådes.
1004;Sperrelinje;linjer_og;linjer_og/sf200510071219100401_gif.gif;Det er ikke tillatt å krysse denne linjen – forbudt passering.
1006;Kombinerte linjer;linjer_og;linjer_og/sf200510071219100601_gif.gif;En blanding av sperrelinje og kjørefeltlinje – gjelder forskjellig for hver retning.
1008;Skillelinje;linjer_og;linjer_og/sf200510071219100801_gif.gif;Skiller kjørefelt som går i ulike retninger – kryssing forbudt.
1010;Ledelinje;linjer_og;linjer_og/sf200510071219101001_gif.gif;Brukes for å lede trafikk i kryss eller rundkjøring – gir retning.
1012;Kantlinje;linjer_og;linjer_og/sf200510071219101201_gif.gif;Marker ytterkant av kjørebanen – hjelper med plassering i veibanen.
1014;Sperreområde;linjer_og;linjer_og/sf200510071219101401_gif.gif;Område markert med heltrukne linjer – kjøring tillates ikke innenfor.
1020;Stopplinje;linjer_og;linjer_og/sf200510071219102001_gif.gif;Linje hvor kjøretøy må stanse ved stoppskilt eller rødt lys.
1022;Vikelinje;linjer_og;linjer_og/sf200510071219102201_gif_2.gif;Angir hvor vikeplikt skal utøves – stans er ikke påkrevd med mindre nødvendig.
1024;Gangfelt;linjer_og;linjer_og/sf200510071219102401_gif.gif;Markerer gangfelt – gir fotgjengere rett til å krysse veien trygt.
1026;Sykkelkryssing;linjer_og;linjer_og/sf200510071219102601_gif.gif;Markerer kryssing for syklister – gir informasjon om syklistens trase.
1027;Fartshump;linjer_og;linjer_og/sf200510071219102701_gif.gif;Markering av fartshump – varsler sjåfører om å redusere hastigheten.
1028;Parkeringsfelt;linjer_og;linjer_og/sf200510071219102801_gif.gif;Angir parkeringsfelt – veibanen er reservert for parkering.
1034;Piler;linjer_og;linjer_og/sf200510071219103401_gif.gif;Piler angir kjørefeltets retning eller tillatt bevegelse.
1036;Vikesymbol;linjer_og;linjer_og/sf200510071219103601_gif.gif;Symbol som markerer vikeplikt i veikryss.
1037;Gangsymbol;linjer_og;linjer_og/sf200510071219103701_gif.gif;Symbol som viser hvor fotgjengere forventes å krysse.
1038;Delesymbol;linjer_og;linjer_og/sf200510071219103901_gif.gif;Delesymbol for gang- og sykkelvei – skiller soner for gående og syklende.
1040;Parkeringssymbol;linjer_og;linjer_og/sf200510071219104001_gif.gif;Symbol for parkering – ofte brukt i kombinasjon med parkeringsfelt.
1041;Liten elektrisk motorvogn;linjer_og;linjer_og/sf-20051007-1219-1041-01-02.png;Markering for område eller felt for liten elektrisk motorvogn (f.eks. el-sparkesykkel).
1042;Symbol for forflytningshemmede;linjer_og;linjer_og/sf200510071219104201_gif_2.gif;Markerer plass eller område reservert for forflytningshemmede.
1044;Skinnekjøretøy;linjer_og;linjer_og/sf200510071219104401_gif.gif;Symbol for trikk/sporvogn – markerer felt der disse kjører.
1050;Tekst;linjer_og;linjer_og/sf200510071219105001_gif.gif;Inngravert eller malt tekst i veibanen – gir ekstra informasjon, f.eks. «BUSS».
1052;Sambruksfelt;linjer_og;linjer_og/sf200510071219105201_gif.gif;Felt reservert for felles bruk, f.eks. buss, taxi og elbil.
1054;Fartsgrense;linjer_og;linjer_og/sf200510071219105401_gif.gif;Fartsgrensen angitt med tall i kjørebanen.
1053;Tungtrafikkfelt;linjer_og;linjer_og/vegoppmerkingsskilt_som_viser_75_tonn__grafikk.gif;Felt reservert for tunge kjøretøy som lastebil og buss.
761;Motorveg;opplysnings;opplysnings/sf20051007121950201_gif.gif;Vei reservert for motorvogn med høy standard – avkjørsler kun i planfrie kryss.
763;Motortrafikkveg;opplysnings;opplysnings/sf20051007121950301_gif.gif;Hovedvei for motorisert trafikk med visse restriksjoner for gående og syklende.
504;Slutt på motorveg;opplysnings;opplysnings/sf20051007121950401_gif.gif;Motorveien opphører – normale trafikkregler gjelder videre.
505;Slutt på motortrafikkveg;opplysnings;opplysnings/sf20051007121950501_gif.gif;Motortrafikkveien opphører – vær oppmerksom på mulig redusert standard.
506;Tungtrafikkfelt;opplysnings;opplysnings/sf20051007121950601_gif.gif;Felt forbeholdt tunge kjøretøy, som lastebil og buss.
507;Slutt på tungtrafikkfelt;opplysnings;opplysnings/sf20051007121950701_gif.gif;Avslutning på særskilt felt for tungtrafikk.
508.1;Kollektivfelt for buss;opplysnings;opplysnings/sf200510071219508101_gif.gif;Felt reservert for busser – andre kjøretøy må ikke bruke dette.
508.2;Kollektivfelt for buss og drosje;opplysnings;opplysnings/sf200510071219508201_gif.gif;Felt reservert for busser og drosjer (taxi).
509;Sambruksfelt;opplysnings;opplysnings/sf20051007121950901_gif.gif;Felt for felles bruk, f.eks. elbil, taxi, kollektiv m.m. – se skilt.
510.1;Slutt på kollektivfelt;opplysnings;opplysnings/sf200510071219510101_gif.gif;Slutt på område med kollektivfelt – vanlige regler gjelder.
510.2;Slutt på kollektivfelt for buss og drosje;opplysnings;opplysnings/sf200510071219510201_gif.gif;Kollektivfelt for buss og drosje opphører – normale regler gjelder.
511;Slutt på sambruksfelt;opplysnings;opplysnings/sf20051007121951101_gif.gif;Felt for elbil, taxi m.m. opphører – vanlig trafikkfelt følger.
512;Holdeplass for buss;opplysnings;opplysnings/sf20051007121951201_gif.gif;Marker område der buss stopper for av- og påstigning.
513;Holdeplass for sporvogn;opplysnings;opplysnings/sf20051007121951301_gif.gif;Marker område der trikk/sporvogn stopper – se opp for passasjerer.
514;Holdeplass for drosje;opplysnings;opplysnings/sf20051007121951401_gif.gif;Reservert plass for taxi – ventende og kjørende drosjer.
516;Gangfelt;opplysnings;opplysnings/sf20051007121951601_gif.gif;Opplyser om fotgjengerovergang – vis hensyn og vikeplikt.
518;Gangveg;opplysnings;opplysnings/sf20051007121951801_gif.gif;Opplyser om veg kun for gående – sykling forbudt.
520;Sykkelveg;opplysnings;opplysnings/sf20051007121952001_gif.gif;Opplyser om veg kun for syklister – andre trafikanter forbudt.
521.1;Sykkelfelt – sideplassert;opplysnings;opplysnings/sf20051007121952101_gif.gif;Oppmerksomhet på sykkelfelt langs veikant – kun for syklister.
521.2;Sykkelfelt – Midtstilt;opplysnings;opplysnings/sf200510071219521201_gif.gif;Sykkelfelt plassert i midten av kjørefelt – kun for syklister.
522;Gang- og sykkelveg;opplysnings;opplysnings/sf20051007121952201_gif.gif;Veg delt mellom gående og syklende – vis hensyn og hold deg til riktig side.
524;Møteplass;opplysnings;opplysnings/sf20051007121952401_gif.gif;Utvidet område der kjøretøy kan møtes og passere hverandre.
526.1;Envegskjøring frem;opplysnings;opplysnings/sf200510071219526101_gif.gif;Kun én kjøreretning tillatt – fremover i pilens retning.
526.2;Envegskjøring venstre;opplysnings;opplysnings/sf200510071219526201_gif.gif;Enveisveg med kjøreretning til venstre.
527.1;Blindveg;opplysnings;opplysnings/sf200510071219527101_gif.gif;Veg som ikke har gjennomkjøring – ender blindt.
527.2;Skiltet viser at vegen er fysisk stengt.;opplysnings;opplysnings/sf200510071219527201_gif.gif;Veg sperret med fysisk hindring, f.eks. bom, mur eller annet.
527.3;Skiltet viser at kryssende veg er fysisk stengt;opplysnings;opplysnings/sf200510071219527301_gif.gif;Kryssende veg er fysisk sperret – gjennomkjøring umulig.
527.4;Skiltet viser at vegen er stengt for biltrafikk, men åpen for gående og syklende;opplysnings;opplysnings/sf200510071219527401_gif.gif;Biltrafikk forhindres – men annen ferdsel kan være tillatt.
528;Valgfritt kjørefelt;opplysnings;opplysnings/sf20051007121952801_gif.gif;Trafikanter kan velge fritt mellom kjørefeltene i angitt område.
530;Sammenfletting;opplysnings;opplysnings/sf200510071219530a01_gif.gif;Kjørefelt flettes sammen – veksle på å slippe frem kjøretøy.
531.1;Felt for fartsøkning;opplysnings;opplysnings/sf200510071219531101_gif.gif;Kjørefelt for akselerasjon – benyttes ved innkjøring på hovedvei.
532;Kjørefelt slutter;opplysnings;opplysnings/sf200510071219532a01_gif.gif;Et kjørefelt opphører – vær oppmerksom og flett inn i tide.
534;Kjørefelt begynner;opplysnings;opplysnings/sf200510071219534a01_gif.gif;Et nytt kjørefelt starter – benytt ved behov.
536.1;Påkjøring fortsetter i eget kjørefelt;opplysnings;opplysnings/sf200510071219536101_gif.gif;Feltet du kommer fra fortsetter – ingen fletting nødvendig.
538;Kjørefeltinndeling;opplysnings;opplysnings/sf20051007121953801_gif.gif;Viser hvordan kjørefeltene er delt – planlegg kjøring deretter.
539;Endret kjøremønster;opplysnings;opplysnings/sf20051007121953901_gif.gif;Kjør forsiktig – uvanlig eller midlertidig kjøremønster i området.
540;Gatetun;opplysnings;opplysnings/sf20051007121954001_gif.gif;Område der gående har prioritet – lav hastighet påbudt.
542;Slutt på gatetun;opplysnings;opplysnings/sf20051007121954201_gif.gif;Vanlige trafikkregler gjelder igjen – vis hensyn.
548;Gågate;opplysnings;opplysnings/sf20051007121954801_gif.gif;Veg kun for gående – kjøring vanligvis forbudt.
550;Slutt på gågate;opplysnings;opplysnings/sf20051007121955001_gif.gif;Kjøring kan gjenopptas – følg gjeldende regler.
552;Parkering;opplysnings;opplysnings/sf20051007121955201_gif.gif;Område der det er tillatt å parkere – følg eventuelle tilleggsskilt.
555;Havarilomme;opplysnings;opplysnings/sf20051007121955501_gif.gif;Lomme i veien for nødstopp – ikke ment for vanlig parkering.
556.1;Automatisk trafikkontroll – punktmåling;opplysnings;opplysnings/sf200510071219556101_gif.gif;Fotoboks måler kjøretøyets hastighet på et bestemt punkt.
556.2;Automatisk trafikkontroll – strekningsmåling;opplysnings;opplysnings/sf200510071219556201_gif.gif;Gjennomsnittshastighet måles over en strekning.
558;Videokontroll/-overvåking;opplysnings;opplysnings/sf20051007121955801_gif.gif;Området er videoovervåket – ofte brukt ved bomstasjoner eller tunneler.
560;Opplysningstavle;opplysnings;opplysnings/sf20051007121956001_gif.gif;Gir generell informasjon – kan brukes sammen med symbol eller tekst.
565;Feil kjøreretning;opplysnings;opplysnings/sf20051007121956501_gif.gif;Varsel om at du kjører mot kjøreretningen – snu umiddelbart.
570.1;Nødutgangsskilt for tunnel;opplysnings;opplysnings/sf2005100712195701h01_gif.gif;Viser plassering av nødutgang i tunnel.
570.2;Retning og avstand til nødutgang;opplysnings;opplysnings/sf2005100712195702h01_gif.gif;Angir retningen og avstanden til nærmeste nødutgang.
650.22;Sykkelloype;service;service/serviceskilt_som_viser_sykkelløype__grafikk.gif;Vei eller rute tilrettelagt for syklister – del av nasjonalt eller lokalt nettverk.
602;Førstehjelp;service;service/sf20051007121960201_gif.gif;Sted der førstehjelpsutstyr er tilgjengelig – f.eks. hjertestarter.
605;Nødtelefon;service;service/sf20051007121960501_gif.gif;Plassering av telefon for nødsituasjoner – ofte i tunneler eller langs motorvei.
606;Brannslokningsapparat;service;service/sf20051007121960601_gif.gif;Viser hvor brannslukker er plassert – viktig ved brannfare.
608;Kjøretøyverksted;service;service/sf20051007121960801_gif.gif;Verksted der kjøretøy kan repareres – dekker både små og store kjøretøy.
609;Hurtiglading av motorvogn;service;service/sf20051007121960901_gif.gif;Tilgang til hurtigladestasjon for elbil eller annet elektrisk kjøretøy.
610.1 ;Drivstoff;service;service/sf200510071219610101_gif.gif;Tilgang på bensin, diesel eller annen type drivstoff – bensinstasjon.
611;Toalettømmeanlegg;service;service/sf20051007121961101_gif.gif;Tømmestasjon for campingvogner eller bobiler – sanitæranlegg.
612;Toalett;service;service/sf20051007121961201_gif.gif;Offentlig toalett tilgjengelig på stedet.
613.1;Rasteplass;service;service/sf200510071219613101_gif.gif;Tilrettelagt stoppested med sitteplasser, ofte med toalett og informasjon.
613.2;Rasteplass med toalett;service;service/sf200510071219613201_gif.gif;Rast med både sitteplass og toalett – egnet for lengre stopp.
614;Enklere servering;service;service/sf20051007121961401_gif.gif;Kiosk, kafé eller annen enkel matservering.
616;Spisested;service;service/sf20051007121961601_gif.gif;Restaurant eller større serveringssted med varm mat.
618;Campingplass;service;service/sf20051007121961801_gif.gif;Område tilrettelagt for telt og campingvogner.
621;Bobilplass;service;service/sf20051007121962101_gif.gif;Oppstillingsplass spesifikt for bobiler – ofte med strøm og vann.
622;Campinghytter;service;service/sf20051007121962201_gif.gif;Enkle overnattingshytter ofte tilknyttet campingplass.
624;Vandrerhjem;service;service/sf20051007121962401_gif.gif;Rimelig overnatting med fellesrom og selvbetjening.
625;Rom og frokost;service;service/sf20051007121962501_gif.gif;Privat overnatting med frokost inkludert – «bed and breakfast».
626;Overnattingssted;service;service/sf20051007121962601_gif.gif;Generell overnatting – hotell, motell, pensjonat osv.
635;Informasjon;service;service/sf20051007121963501_gif.gif;Generell informasjonstavle for reisende – f.eks. kart, regler eller tilbud.
637;Turistkontor;service;service/sf20051007121963701_gif.gif;Offentlig kontor med informasjon for turister – kart, brosjyrer, tips.
638;Døgnhvileplass;service;service/sf-20051007-1219-638-01-01.png;Parkeringsplass for langtransport med fasiliteter for hvile og overnatting.
640.10;Severdighet;service;service/sf2005100712196401001_gif.gif;Viser vei til kulturelt eller naturlig interessant sted.
640.12;Museum/galleri;service;service/sf2005100712196401201_gif.gif;Tilgang til kunstutstilling eller museum.
640.20 ;Utsiktspunkt;service;service/sf2005100712196402001_gif.gif;Sted med utsikt over landskap, by eller severdighet.
650.10;Badeplass;service;service/sf2005100712196501001_gif.gif;Offentlig tilrettelagt badeområde.
650.11;Fiskeplass;service;service/sf2005100712196501101_gif.gif;Tilrettelagt område for sportsfiske eller fritidsfiske.
650.20;Tursti;service;service/sf2005100712196502001_gif.gif;Merket rute for fotturer i naturen.
650.21;Skiløype;service;service/sf2005100712196502101_gif.gif;Preparert løype for langrenn eller annen skigåing.
650.40;Gardsmat/bygdeturisme;service;service/sf2005100712196504001_gif.gif;Tilbud om lokal mat, gårdsopplevelser eller overnatting i landlige omgivelser.
1080;Hovedsignal;signaler;signaler/sf200510071219108001_gif.gif;Vanlig trafikklys for motorvogner – regulerer kjøring med rødt, gult og grønt.
1082.1;Pilsignal Venstre;signaler;signaler/sf2005100712191082101_gif.gif;Trafikklys med pil til venstre – gjelder kun for venstresvingende trafikk.
1082.2;Pilsignal Opp;signaler;signaler/sf2005100712191082201_gif.gif;Pilsignal rett frem – gjelder bare for trafikk rett frem.
1082.3;Pilsignal Høgre;signaler;signaler/sf2005100712191082301_gif.gif;Pil til høyre – signalet gjelder bare for høyresvingende trafikk.
